Id,kwh
35304,0.03753517338807929
34539,0.025723485098269622
35140,0.08650692794219983
34542,0.08018319553319253
34854,0.16857699999999998
35518,0.18949133333333332
34533,0.10483333333333332
35438,0.21063016666666662
34743,0.16971990476190474
34867,0.14031000000000007
34723,0.15893083333333327
35027,0.11549638888888883
35347,0.11581290476190471
35312,0.06881569298245613
35265,0.044786041434103196
34381,0.04525719588494217
34319,0.0382050022409884
35348,0.028793147255288417
34318,0.026667293315552967
36565,0.018832760212328457
35909,0.027448167444461782
35597,0.05483319725609109
36132,0.07104319776947383
34603,0.1503323276108727
44943,0.14120964414414414
35804,0.15808429487179487
35576,0.12334294532279319
34194,0.16752022222222238
34583,0.2654424999999999
47736,0.13009746202919892
34563,0.12434933652969839
36277,0.11410428712993931
36372,0.09933980177875243
35676,0.0268128229339736
44944,0.0345480389751837
47737,0.016573427190224355
36566,0.01691608361719384
35788,0.01646971850064591
37553,0.03650205402319085
36878,0.02653103520634446
49541,0.028305181714189533
37089,0.06070630336751627
37058,0.15821700000000002
37138,0.13781878205128206
50782,0.10671355244755237
37568,0.13277792156862753
40446,0.16550818478260865
47738,0.1358785833333333
47888,0.1432771428571428
48424,0.0845514498746867
36677,0.09082133333333334
37357,0.1162435521675272
36598,0.03537862025614996
36891,0.023232098019745545
36906,0.016653460546509468
36707,0.01649602485985303
37346,0.016439489841024904
49248,0.016876241673550337
37846,0.012898006178468339
38425,0.023201540826998147
43208,0.05100688684417877
38020,0.17623883333333334
37845,0.13757181081081085
34237,0.19781016666666665
46837,0.15030125490196083
37643,0.2161974999999999
37812,0.3000112549019607
46644,0.23004270445344135
37770,0.18877133220069406
37785,0.13428187285902504
37728,0.07310024625122126
37592,0.04464264670420884
49540,0.03450054949281603
38136,0.02833359381047139
38532,0.02160778326253947
38271,0.0224110294304765
42935,0.05170041501629761
38791,0.028536491765595525
38876,0.029161269572633125
50557,0.07175008464533808
45510,0.1314366666666666
39015,0.13871966666666663
39274,0.10482706349206351
50720,0.09578899732620322
49852,0.11024939775910365
39090,0.0935958079512507
49244,0.1358873578088578
47076,0.13224609153005468
38868,0.12103466666666667
38869,0.04879435413456597
38717,0.03629685397128075
39456,0.025250053298724963
46055,0.03069099141994179
44385,0.02772132999181277
39435,0.029360973309686567
39792,0.014682206623653245
39866,0.018364367625084442
40594,0.02304202112625058
47303,0.04901968325401685
39765,0.1442776666666667
39992,0.11618633333333336
39686,0.08772733333333332
39670,0.1122806276687547
40389,0.08201358125289619
46642,0.15820029574592076
42647,0.2738784507575759
40443,0.13075230952380956
39884,0.12749821428571426
39987,0.06062957393483706
39751,0.02703073579497569
47191,0.028414231431389218
39736,0.01758374634439534
52070,0.018965917757316073
40361,0.01784952688917518
40795,0.011877095512542138
41298,0.012262331391852975
41032,0.02290344398300709
40581,0.0499163473555213
43793,0.14933866094420598
41268,0.1827513333333333
40861,0.17176056161850703
50779,0.2978956666666668
40625,0.19586638232600742
40862,0.1411198065684316
41127,0.24888879999999997
41248,0.14885711172161178
40631,0.10980706490771713
42099,0.1151982215909091
41144,0.03397115662243749
40843,0.023848921633221123
44386,0.028023411712460592
40651,0.01792582950090419
41436,0.01692443798036849
41915,0.013567826887427026
48298,0.016645813343163826
44935,0.01501571663870338
42243,0.05660741050481139
49477,0.12148108823529405
41672,0.18857722222222212
42464,0.25498907843137253
42300,0.23183807575757565
50142,0.21496377777777773
49246,0.20596412337662343
41928,0.34735416666666674
41987,0.13898841278677465
41608,0.12775385265700492
42188,0.10386764583333333
34142,0.025809961121461708
42198,0.02440332415405226
42038,0.02845325299064364
41865,0.03338361670273505
41826,0.022696289815296963
42982,0.013561651774282146
42755,0.017531309416982832
42854,0.017439632273525348
43035,0.041886933210771825
47330,0.12736275490196072
42731,0.18042033333333327
43400,0.14731004487179486
43289,0.22983744444444448
47952,0.2410369200244199
43607,0.24771540115440097
43547,0.2519104166666666
42789,0.2276788888888889
43071,0.11055095555555557
42875,0.08951038095238091
42642,0.031455528596582696
42749,0.02768859677641383
47192,0.024163508446345804
42946,0.02538376814733662
43331,0.02493685571394334
44404,0.014401804246064891
44736,0.018386781897405793
44341,0.018079845252562458
44469,0.04421706064155389
44125,0.17850493589743593
44554,0.16130847747747754
44737,0.1826921339869281
43932,0.16250200000000004
44253,0.27609350000000005
44246,0.17181815811965817
44831,0.2200865
47900,0.2499772692307693
45011,0.1276682325919694
43765,0.06744559245335563
44103,0.031432510065007115
44211,0.024623768451300845
44987,0.023728313517583373
44745,0.0222578258446552
43852,0.022816256134536004
46050,0.012401477816348578
45608,0.017241896755183787
34326,0.03297561334866263
45519,0.08302529104275282
45462,0.12122633333333332
45815,0.17259207034094673
45250,0.19407868262689687
47654,0.14972016666666668
46032,0.11999108823529411
45733,0.10312075129445718
45276,0.14900090491875273
45132,0.16328299837662347
45761,0.1455290000000001
45555,0.09030988095238096
46217,0.029059654069400306
45397,0.030848137271307852
45881,0.024863846602661423
46031,0.024493284203031512
47832,0.034450162984745875
46420,0.01489151725143871
46396,0.016205656813159636
46717,0.02263932496165753
47012,0.03490463582627683
48182,0.14653814379084965
34378,0.1579895
46606,0.25192107843137257
47175,0.1686934032953761
47487,0.11215719193817877
50456,0.18726828894927539
46969,0.10024743589743591
47589,0.09782716666666669
49478,0.09414573809523809
47264,0.059116675563749915
47319,0.0287332108311105
50265,0.025464243735245216
47244,0.02830424018139827
47306,0.027963416584887876
46550,0.039419433542194945
48533,0.02616021448115218
50536,0.027229909572689146
49027,0.036510742900836696
48263,0.055156737715009924
48844,0.12257299999999993
49182,0.12884855442176874
48023,0.13129938775510205
48655,0.11477275490196083
47744,0.1199986764705883
47787,0.11282655833054347
48392,0.14341090924775712
48780,0.13591187878787883
49159,0.13509828571428564
49113,0.09350152777777776
49240,0.047687758403905205
48211,0.03967312966871094
49204,0.032243724647608295
49211,0.024672951868569385
49304,0.03645088452903754
49795,0.014921517251438709
50003,0.02786939857545509
49458,0.032148321061216144
49705,0.027654162155851935
49399,0.0806464090909091
49920,0.1404220938582522
49819,0.2498518859649123
49924,0.13723938888888892
50104,0.12124370789341368
49502,0.134096977124183
49841,0.21673064646464635
49409,0.11489564285714289
50786,0.09688823841844434
49395,0.06947381924508239
49718,0.02785799557184747
49419,0.04189548367048587
50046,0.032220267184221975
49472,0.025364845936058304
49937,0.032808525657476634
34828,0.037305539989328194
34728,0.014937156580061377
50752,0.061804135561528334
34879,0.0374598868150685
